Wall time,Step,Value
1651276609.1516116,0,0.296875
1651276654.2938025,100,0.78125
1651276699.7675333,200,0.78125
1651276746.940476,300,0.90625
1651276793.2930584,400,0.921875
1651276838.0597732,500,1.0
1651276883.838275,600,0.984375
1651276928.5502133,700,0.96875
1651276974.0488946,800,1.0
1651277019.3389995,900,0.984375
1651277065.6241677,1000,1.0
1651277112.307077,1100,1.0
1651277158.84104,1200,1.0
1651277205.2017615,1300,0.984375
1651277250.415212,1400,1.0
1651277295.2569702,1500,1.0
1651277339.8644035,1600,1.0
1651277384.523009,1700,1.0
1651277429.3536375,1800,1.0
1651277474.1264458,1900,1.0
1651277519.2185361,2000,1.0
1651277564.1601248,2100,1.0
1651277609.161301,2200,1.0
1651277654.3658144,2300,0.65625
1651277700.4572194,2400,1.0
1651277745.3902364,2500,1.0
1651277790.2334428,2600,1.0
1651277835.5164287,2700,1.0
1651277880.1042852,2800,1.0
1651277926.2196398,2900,1.0
